,PM2.5_pred,PM2.5_real,PM10_pred,PM10_real,NO2_pred,NO2_real,CO_pred,CO_real,SO2_pred,SO2_real,O3_8h_pred,O3_8h_real
634,28.731922,21.0,58.951588,54.99999999999999,43.533905,48.0,0.5816939,0.5,3.0524716,2.0,37.472298,36.0
635,24.753933,19.0,32.751495,30.0,31.209595,36.0,0.70978916,0.6,7.468348,7.0,71.94295,78.0
636,96.94782,98.0,123.67812,121.0,76.50802,80.0,2.0690277,2.0,39.455772,39.0,28.898596,26.0
637,24.877499,22.0,47.929173,45.0,28.614107,33.0,0.57216656,0.4,2.9212644,3.0,53.203983,52.0
638,150.63362,165.0,197.73022,185.0,45.302547,41.0,1.391174,1.2,4.733565,9.0,206.29317,195.0
639,30.685863,37.0,49.02464,52.0,16.30217,14.0,0.6414459,0.7,3.71309,3.0,164.36311,166.0
640,152.77922,155.0,245.83191,248.99999999999997,53.281048,48.0,1.1426055,1.2,1.9749918,5.0,150.14494,146.0
641,1.2605743,6.0,30.453611,23.0,16.823523,14.0,0.16890338,0.2,0.7005796,2.0,54.32689,56.0
642,66.410324,53.0,86.77246,77.0,52.35778,64.0,1.0766793,0.9,6.815589,6.0,28.329153,20.0
643,4.4455733,7.0,25.417276,19.0,18.422256,11.0,0.12383932,0.2,-1.3105205,2.0,56.175476,61.00000000000001
644,82.5413,84.0,97.78531,94.0,62.583782,67.0,1.2436999,1.0,3.756948,3.0,19.931192,21.000000000000004
645,44.011932,36.0,79.53482,88.00000000000001,39.70199,44.0,0.71486104,0.7,4.6040397,3.0,86.21733,90.0
646,109.89659,98.0,132.89586,132.0,58.400047,69.0,1.4265972,1.2,2.932349,3.0,26.123182,21.000000000000004
647,141.98868,153.0,205.27051,213.0,66.37139,58.99999999999999,2.0611825,2.1,32.093784,34.0,56.924,55.0
648,68.4137,60.0,62.837616,69.0,37.954403,38.0,1.1076304,1.2,2.541212,3.0,159.09189,159.0
649,27.5507,16.0,53.80257,53.0,36.304577,41.0,0.53107727,0.5,3.8548887,3.0,121.10805,122.00000000000001
650,13.617374,15.0,31.302511,26.0,28.964195,31.0,0.5925962,0.5,8.765092,8.0,66.20717,68.0
651,27.277388,26.0,41.63742,32.0,38.10033,41.0,0.60226274,0.5,1.6036978,2.0,31.085173,32.0
652,27.681814,33.0,48.79956,45.0,24.617197,23.0,0.49839374,0.4,1.5578936,2.0,119.72768,129.0
653,14.780327,24.0,41.78256,32.0,32.603085,30.0,0.60442567,0.6,16.423557,17.0,70.65191,71.0
654,59.792255,55.0,71.599365,76.0,50.535625,53.0,1.1010897,1.0,5.940119,6.0,47.34386,51.0
655,53.529175,55.0,74.966255,80.0,58.325993,60.0,1.454604,1.3,29.598768,30.0,38.96368,37.0
656,36.875717,44.0,71.447,70.0,28.728485,28.0,0.5812818,0.6,1.9928946,2.0,88.15198,91.0
